Keyword,Search-Volume,Competition,CPC,Country
trello,61000,56%,"1,10 EUR",de
jira,28900,53%,"2,10 EUR",de
clickup,12900,49%,"1,80 EUR",de
meistertask,11000,48%,"3,70 EUR",de
awork,6850,46%,"4,40 EUR",de
agiles projektmanagement,5750,44%,"2,30 EUR",de
wrike,3050,37%,"4,60 EUR",de
redmine,1100,30%,"6,20 EUR",de
jira software,1050,33%,"3,70 EUR",de
trello alternative,700,44%,"12,90 EUR",de
jira alternative,500,37%,"7,90 EUR",de
alternative jira,250,34%,"13,00 EUR",de
monday.com alternative,250,30%,"32,90 EUR",de
agile tools,150,28%,"3,00 EUR",de
agiles projektmanagement-tools,100,27%,"14,40 EUR",de
agile work tools,100,20%,"0,00 EUR",de
wrike projektmanagement tool,100,0%,"0,00 EUR",de
meistertask alternative,80,25%,"20,30 EUR",de
clickup alternative,50,26%,"18,40 EUR",de
agiles projektmanagement tools,50,20%,"14,40 EUR",de
awork alternative,40,25%,"19,30 EUR",de
agile projektmanagement tools,20,17%,"4,00 EUR",de
agiles projektmanagement software,20,20%,"8,90 EUR",de
